Fecha;ABERDEEN ASSET MGMT;ADMIRAL GROUP;AGGREKO;AMEC;ANGLO AMERICANcsv;ANTOFAGASTA;ARM HOLDINGS;ASHMORE GRP;ASSOCIAT BRIT FOODS;ASTRAZENECA;AVIVA;B SKY B GROUP;BAE SYSTEMS;BARCLAYS;BG GROUP;BHP BILLITON;BP;BRIT AMER TOBACCO;BRIT LAND CO REIT;BT GROUP;BUNZL;BURBERRY GROUP;CAP SHOP CENTRES;CAPITA;CARNIVA;CENTRICA;COMPASS GROUP;CRH PLC;CRODA INTL PLC;DIAGEO;EURASIAN NATURAL;EXPERIAN;FRESNILLO;G4S;GKN;GLAXOSMITHKLINE;HAMMERSON REIT;HARGREAVES LANS;HSBC HLDG;ICAP;IMI PLC;IMPERIAL TOBACCO;INTERCONT HOTELS;INTERNATIONAL POWER;INTERTEK GROUP;INTL CONS AIR GRP;ITV;JOHNSON MATTHEY PLC;KAZAKHMYS;KINGFISHER;LAND SEC REIT;LEGAL & GENERAL;LLOYDS BANKING GRP;MAN GROUP;MARKS & SPENCER;MEGGITT;MORRISON SUPERMKTS;NATIONAL GRID;NEXT;OLD MUTUAL;PEARSON;PETROFAC;PRUDENTIAL;RANDGOLD RESOURCES;RECKITT BENCK GRP;REED ELSEVIER PLC;RESOLUTION NPV;REXAM;RIO TINTO;ROLLS-ROYCE HLDGS;ROYAL BK SCOTL GR;ROYAL DUTCH SHELL A;RSA INSUR GRP;SABMILLER;SAGE GRP;SAINSBURY;SCHRODERS NVTG;SCHRODERS;SERCO GROUP;SEVERN TRENT;SHIRE;SMITH & NEPHEW;SMITHS GROUP;SSE;STANDARD CHARTERED;STANDARD LIFE;TATE & LYLE;TESCO PLC;UNILEVER;UNITED UTILITIES GR;VEDANTA RESOURCES;VODAFONE GRP;WEIR GROUP;WHITBREAD;WOLSELEY;WPP;XSTRATA;GBP
01/01/2003;84.96;287;146.4700748;143.25;1104.97;125;48;192;588;2187;479.5;662.5923016;124;666.9824219;268;336;427;620.5;374.74;207;536;223.25;564.5;255.75;1547;233.75;330;1180;243;675;630;576;1565;71.5;213.5;1192;477;209.5;686.5;319;262.5;1083;929.5;95.75;404;135;79.75;800;561.5;284;789.5;96;449.5;464;315;177;217.9459459;520;736.5;88;574.5;243.75;439;475;2800;614.55;416.015444;424;1240;127;165.8097983;1835;120.75;441.5;135.25;278.75;484;511;153.13;1041;397.5;380.5;1036.190414;662.5;706;242.5;315;194;1317.148665;691.5;373;129.43;212;1156;2353.109756;474.5;368.1;0.651677019
02/01/2003;84.96;287;142.9945137;148.5;1124.74;123;51;192;593;2187;479.5;662.5923016;124;682.5742188;263.75;336;428;627;374.74;207;536;223.25;574;260.4;1547;233.75;343.25;1185;242.79;698;630;576;1565;71.5;213.5;1201;477;209.5;700.5;319;265;1083;929.5;99.5;408.5;143;80.75;805;561.5;284;789.5;99.25;449.5;464;321;178.1;219.963964;520;747.75;91;575;243.75;459.5;475;2800;633.03;416.015444;425;1260;127;169.8213256;1835;128;446.25;135.25;283.5;503.5;519.5;155;1032;401.5;384;1072.691729;662.5;717.5;242.5;317.75;195.75;1348.347522;691.5;373;134;214;1156;2368.902439;486;387.7;0.650062735
03/01/2003;84.96;287;148.9526185;152;1119.35;123;51;192;591.5;2187;479.5;662.5923016;126.25;688.2045898;259.5;336;427;629;374.74;207;536;223.25;574;252.91;1547;233.75;336.25;1220;247.07;689;630;576;1565;71.5;211.5;1208;477;209.5;708.5;319;268.75;1083;929.5;101;416.52;145;81;787.5;561.5;284;789.5;100.5;449.5;464;316;181.63;218.1981982;520;733;90;595.5;243.75;461;475;2800;637.66;416.015444;414;1270;127;171.4927954;1835;127.25;445;135.25;287.25;483;515;151.16;1017;401;387.5;1065.987406;662.5;720;242.5;318;192.5;1329.406165;691.5;373;135.14;221;1156;2301.219512;486;376.9;0.647179296
06/01/2003;84.96;287;142.9945137;155.5;1098.98;122.59;50;192;586;2175;463;662.5923016;128;672.1796875;258;325;429;618;369.76;205;536;221.5;561;262.47;1547;233.75;329.5;1219;246.21;693;630;576;1565;71.5;210.75;1199;466;209.5;709;319;263.5;1055;929.5;100;414;144.25;80;796;561.5;284;788;96.5;434.5;464;321.5;180;216.9369369;520;732.5;88.5;591.5;243.75;448.5;475;2800;623.22;416.015444;414.25;1283;127;168.4841499;1835;126.5;447;136;285;491;515;150.5;1019.25;410.5;384.5;1077.906203;663.5;720.5;242.5;315;196.5;1322.717794;691.5;373;139.43;217.08;1156;2310.243902;494.25;381.8;0.649965811
07/01/2003;84.96;287;148.9526185;155;1090.6;125;51;192;591.5;2130;450.5;662.5923016;125.5;653.1230469;252.25;331;424;615.5;363.53;207;536;217.5;551.5;253.43;1547;233.75;320;1264;245.14;685;630;576;1565;71.5;216.5;1197;468.5;209.5;706;319;266.5;1040;929.5;104.5;407;138;79;790;561.5;284;776.5;93.25;424.25;464;323;178.65;214.9189189;520;746;88;585;243.75;431;475;2800;608.78;416.015444;415;1280;127;165.8097983;1835;126;447;137;282;475.5;511;153;1014.75;405.75;382;1075.671429;660;718;242.5;320.25;198.75;1319.378122;691.5;373;137.43;217.89;1156;2314.756098;479;371;0.648859244
08/01/2003;86.36;287;150.9386534;148;1072.03;122.2;49.25;192;581.5;2064;435.5;662.5923016;124.25;660.0527344;247;327.5;418.5;623;357.29;208.25;536;218;558.5;245.93;1547;233.75;330;1253;249;683;630;576;1565;71.5;205;1229;468.5;209.5;703.5;319;263.5;1040;929.5;100.5;396.5;136.25;78;770;561.5;284;771;89.75;430;464;310.5;179.22;212.1441441;520;770;87.5;576;243.75;423;475;2800;598.38;416.015444;400.75;1260;127;163.1354467;1835;117.25;441;133.75;276.25;470.25;505;158.58;1011.75;403;384;1053.323684;659.5;715.5;242.5;327;201;1321.607579;691.5;373;136.57;218.04;1156;2226.768293;463.75;365.9;0.650697242
09/01/2003;88;287;141.5049875;152.25;1089.4;122.5;51.25;192;588;2042;440;662.5923016;124;670.0141602;251.25;328;420.25;623;365.6;209;536;212;558.5;249.03;1547;233.75;330;1270;247.9;680.5;630;576;1565;71.5;208.25;1240;465;209.5;703.5;319;265;1037;929.5;100.5;371.57;138.5;80.75;750;561.5;284;774;91.5;440;464;324.5;179.92;181.6216216;520;775;88;594;243.75;426.25;475;2800;593.18;416.015444;399.5;1245;127;162.8011527;1835;120.25;439.5;138.25;258.5;479.5;501.25;159.77;1024.5;355.5;382;1057.793233;655;720.5;242.5;320.5;192.75;1326.06198;691.5;373;135.71;212.5;1156;2233.536585;458.5;365.9;0.65213335
10/01/2003;92;287;145.9735661;156.25;1084.01;116.6;50.25;192;578;2105;453;662.5923016;125;688.6376953;250;331;424;625;363.32;204.75;536;216;566;244.9;1547;233.75;320.25;1295;247.35;681;630;576;1565;71.5;213;1242;467.5;209.5;704;319;263;1034;929.5;103;381;140;79;768;561.5;284;770.5;92;445;464;331.75;179.72;192.2162162;520;796;90;603.5;243.75;439.5;475;2800;583.36;416.015444;399.5;1251;127;167.815562;1835;123.5;438.75;140.5;256;490;511.5;160.4;1032.75;358;384;1058.538158;658;729;242.5;325;186.75;1320.49285;691.5;373;139.43;210.84;1156;2256.097561;473.25;367.6;0.657875093
13/01/2003;96;287;141.0084788;156;1103.18;118.36;50.5;192;566;2085;453.5;662.5923016;130.75;683.0073242;242.25;330;416;609.5;359.99;203;536;229;564;251.36;1547;233.75;330.75;1280;247.88;665;630;576;1565;71.5;211.5;1230;470;209.5;705;319;261;1020;929.5;103.5;373;134;76.5;781;561.5;284;770;91.25;445.5;464;335;179.82;186.6666667;520;792;91.25;583;243.75;436;475;2800;569.5;416.015444;403;1270;127;165.8097983;1835;123.75;433.75;141.25;241.75;470.5;511;163;1024.5;357.5;381.5;1068.967105;650;730.5;242.5;328;183;1326.06198;691.5;373;141.14;214.54;1156;2244.817073;467;373.3;0.658667667
14/01/2003;93;287;139.0224439;154;1109.16;119;55;192;566.5;2070;447.5;662.5923016;128;666.9824219;239;331;410.5;619;361.86;202.75;536;233;563.5;248;1547;233.75;331.25;1243;243.93;669;630;576;1565;71.5;214.75;1232;471.82;209.5;705;319;262;1023;929.5;103.25;375;138;76.25;795.5;561.5;284;769.5;89.5;440.75;464;323;181;185.9099099;520;790;92.25;580;243.75;428.5;475;2800;588.56;416.015444;407;1257;127;166.4783862;1835;124.5;436;142.5;239;478;500;165.55;1037.25;366.25;383;1065.242481;650;725;242.5;325;185.75;1319.378122;691.5;373;143.43;213;1156;2222.256098;470.5;354;0.657527418
