Fecha;Adidas;Allianz;Basf;Bayer;BEIERSDORF;BMW;COMMERZBANK;DAIMLER ;DEUTSCHE BANK;DEUTSCHE BOERSE;DEUTSCHE POST;DEUTSCHE TELEKOM;DT LUFTHANSA;EON;FRESENIUS MED;FRESENIUS;HEIDELBERGCEMENT;HENKEL;INFINEON TECHNOLO;K+S;LINDE;MAN;MERCK;METRO;MUNICHRE;RWE;SAP;SIEMENS;THYSSENKRUPP;VOLKSWAGEN;Dax;BUND
01/01/2003;20.58;90.65;46.45;20.45;35.37;28.92;7.45;29.35;43.9;19.3004;10;12.25;8.78;14.1124;13.15;12.02;35.5;20.18;4.2364;4.3593;35;13.15;20.8919;22.75;114;24.7;18.88;43.26;6.4443;25;2838.87;113.54
02/01/2003;20.88;99;46.45;21.36;35.5;30.4;8.22;35.6;47.15;19.2852;10.88;12.97;9.85;14.1124;13.07;11.73;36.23;20.4;4.6606;4.3593;36.15;14.3;22.0023;24.81;120;25.93;20.2;43.26;6.7529;27.1;2898.68;112.56
03/01/2003;20.65;97.88;46.45;21.79;34.92;30.29;8.4;30.78;47.38;19.1082;10.99;13.07;9.92;14.1124;13.3;11.85;37.3;20.34;4.6485;4.3593;35.51;14.34;22.0516;24.03;123;26.27;21.52;43.26;6.8315;27.77;3098.89;112.54
06/01/2003;20.48;98.55;46.45;22.38;35.25;30.47;8.2;31.5;46.15;19.1689;10.89;13.84;9.6;14.1688;13.63;12.33;37.79;20.43;4.8788;4.3817;36.46;14.63;22.7426;24.07;123.3;26.77;21.95;43.26;7.0191;28.12;3101.17;112.65
07/01/2003;20.5;95.74;46.45;22.05;35.44;30.06;8.08;31.33;45.84;18.7188;10.61;13.64;9.3;13.9896;13.43;12.49;38.04;20.47;4.8;4.2748;36.6;14.37;22.6274;23.52;121.1;26.4;22.31;43.26;6.9646;27.7;3156.56;112.94
08/01/2003;20.02;91.5;46.45;21.28;34.5;28.41;7.65;29.45;44.2;18.1371;10.41;13.18;9.07;13.754;12.74;12.17;37;20.38;4.5758;4.2897;34.87;14.12;22.8742;22.78;115.74;26.17;21.48;43.26;6.7045;26.4;3108.02;113.52
09/01/2003;19.62;92.49;46.45;21.3;34.91;28.69;7.98;29.75;45.05;18.2636;10.68;13.35;9.46;14.2683;13.65;12.75;37;20.52;4.7758;4.2549;34.6;14.36;21.8707;22.3;116.9;26.81;22.62;43.26;6.771;26.6;3000.24;113.18
10/01/2003;19.25;93.89;46.45;21.2;35.09;29.2;7.8;29.55;44.9;17.9601;10.6;13.26;9.67;14.2053;13.6;12.9;35.5;20.23;4.7152;4.2997;35.07;14;23.0304;22.6;118;26.27;23.46;43.26;6.4624;27.24;3037.8;113.25
13/01/2003;19.29;93.21;46.45;20.76;35;29.61;8;30.04;45.36;18.0208;10.51;13.79;9.37;14.1157;14.13;13.05;36;20.04;4.9212;4.2798;34.81;14.1;23.2772;22.3;118.08;26.33;22.92;43.26;6.7468;27.52;3039.91;113.03
14/01/2003;19.48;94.65;46.45;20.96;35.23;29.32;7.92;30;46.2;18.304;10.56;14.26;9.52;14.1091;14.42;13.31;35.53;19.94;5.1879;4.3395;34.82;14.42;22.9317;22.11;118.11;27.15;23.06;43.26;6.8013;27.65;3063.49;113.24
15/01/2003;19.32;93.39;46.45;20.64;35.27;28.37;7.89;29.06;45;17.252;10.83;13.9;9.54;13.973;14.82;13.9;36.38;20.09;5.0303;4.3046;35.42;15;22.8248;21.68;115.7;27.28;22.69;43.26;6.9889;27.25;3107.61;113.36
16/01/2003;19.5;94.19;46.45;20.98;35.11;28.53;7.94;29.95;45.9;18.2079;11.44;14.09;10.05;14.1887;15.3;14.43;35.52;20.46;4.9515;4.327;36.03;14.68;23.417;21.88;114.85;27.71;22.31;42.5;7.1401;29.8;3047.24;113.42
17/01/2003;18.61;88;46.45;18;35;27.71;7.55;28.01;41.78;18.1927;11.15;13.01;9.35;13.4554;14.73;13.37;35;18.4;4.7394;4.2524;34.63;13.93;22.6685;20.51;108.92;26.3;21.31;38.7;6.6682;27.26;3047.11;114.04
20/01/2003;19.11;84.74;46.45;19.34;35.17;28.29;7.53;28;41.8;18.1573;11.07;12.86;9.24;13.7341;14.08;13.67;35.25;19.73;4.6788;4.1753;35.07;14.53;22.9482;21.07;108.07;26.97;21;38.98;6.8073;27.77;2927.58;114.29
21/01/2003;18.93;84.6;46.45;18.8;35.34;28.55;7.2;27.7;40.95;17.9095;11.06;13.15;9.3;13.3094;14.3;13.33;34.24;19.35;4.4545;4.1579;34.62;15.28;22.3971;20.73;106.42;26.82;20.95;39.5;6.8315;27.44;2900.88;114.49
