Fecha;Activision Blizzard;Adobe Systems;Akamai Technologies;Alexion Pharmaceuticals;Altera Corporation;Amazon;Amgen;Apollo Group;Apple;Applied Materials;Autodesk;Automatic Data Processing;Avago Technologies Limited;Baidu;Broadcom Corporation;Celgene Corporation;Cerner Corporation;CH Robinson Worldwide;Check Point Software Technologi;Cisco Systems;Citrix Systems;Cognizant Technology Solutions;Comcast Corporation;Costco Wholesale Corporation;Ctrip com International;Dell;DENTSPLY International;DIRECTV;Dollar Tree;eBay;Electronic Arts;Expedia;Expeditors International of Was;F5 Networks;Fastenal Company;Fiserv;Flextronics International Ltd;Fossil;Garmin Ltd;Gilead Sciences;Google;Green Mountain Coffee Roasters;Henry Schein;Infosys Limited;Intel Corporation;Intuit Inc;Intuitive Surgical;KLA Tencor Corporation;Lam Research Corporation;Liberty Interactive Corporation;Life Technologies Corporation.;Linear Technology Corporation;Marvell Technology Group Ltd;Mattel;Maxim Integrated Products;Microchip Technology Incorporat;Micron Technology;Microsoft Corporation;Monster Beverage Corporation;Mylan;NetApp;Netflix;News Corporation;Nuance Communications;NVIDIA Corporation;O Reilly Automotive;Oracle Corporation;PACCAR;Paychex;Perrigo Company;Priceline com Incorporated;QUALCOMM Incorporated;Randgold Resources Limited;Research In Motion Limited;Ross Stores;SanDisk Corporation;Seagate Technology;Sears Holdings Corporation;Sigma Aldrich Corporation;Sirius XM Radio;Staples;Starbucks Corporation;Stericycle;Symantec Corporation;Teva Pharmaceutical Industries;Texas Instruments Incorporated;VeriSign;Vertex Pharmaceuticals Incorpor;Virgin Media;Vodafone Group Plc.;Warner Chilcott plc;Whole Foods Market;Wynn Resorts Limited;Xilinx;Yahoo;USD
01/01/2003;7.723200948;13.23265306;1.88;3.569251687;13.25;19.57;49.32;45.26;7.46070345;13.98;7.747062908;40.62;16.18;13.41956873;16.61;5.874350935;4.412138128;16.18808081;14.05;13.64;13;6.243637014;24.8;29.01;3.831896787;27.71;18.94515908;16.9;25.75;17.41083968;24.7465676;24.02;16.59247784;5.880337458;9.608009625;35.63;9.15;21.2;15.53326174;8.464931549;100.34;1.712598825;23.77074924;16.95635979;16.69;23.1898524;11.92309746;37.36;11.65;19.45;15.46504202;27.39;5.159587393;19.9;35.77;25.26;10;27.76089441;0.4652617;35.49;10.7;3.507219938;12.02149117;5.53;6.138913754;12.8933921;11.21;47.99;28.92;12.49;9.933349057;18.74987422;7.34171938;2.320443159;10.7200399;10.67618644;10.5;15;24.44385615;0.332727273;18.39;10.74837302;16.47304486;10.91691017;19.51136648;16.04;8.48;16.36;13.2;18.71;14.95;28.28033406;13.5;22.03;8.903568093;1.0492
02/01/2003;7.723200948;13.23265306;1.88;3.569251687;13.25;19.57;49.32;45.26;7.46070345;13.98;7.747062908;40.62;16.18;13.41956873;16.61;5.874350935;4.412138128;16.18808081;14.05;13.64;13;6.243637014;24.8;29.01;3.831896787;27.71;18.94515908;16.9;25.75;17.41083968;24.7465676;24.02;16.59247784;5.880337458;9.608009625;35.63;9.15;21.2;15.53326174;8.464931549;100.34;1.712598825;23.77074924;16.95635979;16.69;23.1898524;11.92309746;37.36;11.65;19.45;15.46504202;27.39;5.159587393;19.9;35.77;25.26;10;27.76089441;0.4652617;35.49;10.7;3.507219938;12.02149117;5.53;6.138913754;12.8933921;11.21;47.99;28.92;12.49;9.933349057;18.74987422;7.34171938;2.320443159;10.7200399;10.67618644;10.5;15;24.44385615;0.332727273;18.39;10.74837302;16.47304486;10.91691017;19.51136648;16.04;8.48;16.36;13.2;18.71;14.95;28.28033406;13.5;22.03;8.903568093;1.0362
03/01/2003;7.409694724;13.59448342;1.9;3.579097898;13.38;20.52;49.19;45.77;7.511113608;14.53;7.529508402;40.39;16.18;13.41956873;16.5;5.973688679;4.752168742;15.96395382;14.69;13.91;13.56;6.203020967;24.5;28.25;3.831896787;27.79;18.85417379;16.9;25.3;17.55645305;25.85073271;24.02;16.48865125;5.782980877;9.476664639;35.09;9.08;21.21;15.96848322;8.615354523;100.34;1.714844856;23.35371855;16.98333693;16.54;23.08199262;11.92309746;39;11.51;19.45;14.69983193;28.18;5.13106706;19.57;35.84;25.65;10.16;27.79706832;0.471830101;36.74;10.71;3.314246265;12.15227328;5.99;6.138913754;12.54001017;11.56;47.62;29.03;12.59;9.516981132;18.0229001;7.980129761;2.283234887;10.62580869;10.70589753;10.75;15;24.56895265;0.327272727;17.93;10.70781312;16.45319184;11.21617879;19.41698869;16.13;8.55;15.99;13.2;18.86;14.95;28.24887652;13.4;22.94;9.156510368;1.0428
06/01/2003;7.374860699;14.21993304;1.86;3.593867215;14.04;20.7;50.27;45.9;7.511113608;15.41;7.747062908;40.5;16.18;13.41956873;17.66;5.96026466;5.020613964;16.12186147;15.02;14.2;14;6.209070165;25.97;28.59;3.831896787;28.35;18.90977592;16.9;25.26;18.32719967;24.63757276;24.02;16.66663969;6.109125422;9.335406824;35.85;9;20.91;16.43997315;8.855546046;100.34;1.730567075;23.40584739;17.5424995;17.18;23.6458051;11.92309746;40.84;12.57;19.45;14.96789916;29.68;5.499238623;19.5;38.26;27.51;10.56;28.30350311;0.471830101;37.98;11.63;3.400012342;12.59170116;6.11;6.637606991;12.85805391;11.96;48.07;29.98;12.81;8.862688679;18.86598815;8.056247922;2.418537695;10.65804568;11.49819337;11.43;15;24.42884457;0.338181818;18.38;10.88526268;16.86017879;11.48731105;18.91529622;17.04;8.77;15.83;13.2;20;14.95;27.56729635;13.29;24.24;9.581453391;1.0456
07/01/2003;7.30021636;14.73683355;1.74;3.571713239;14.18;21.55;50.24;44.68;7.485908529;15.3;8.081353979;40.12;16.18;13.41956873;18.55;6.094504855;5.293189112;16.04545455;15.11;14.6;14.09;5.794267983;25.89;29.05;3.831896787;28.65;18.30320732;16.9;26.7;18.21924493;23.18746749;24.02;16.54303661;6.16753937;9.169366937;35.18;9.45;20.85;16.22754362;8.821579568;100.34;1.701368669;22.47795411;17.93979923;17.36;24.14097954;11.6494526;40.46;12.71;19.45;14.87042017;29.34;5.859631913;19.45;38.1;26.93;11;28.8357764;0.470735367;38.4;12.05;3.360192378;12.46091905;6.1;6.617659262;12.68641126;12.69;48.01;29.45;12.92;8.862688679;18.8104554;7.800883769;2.462511108;10.90354278;11.68636364;12.25;15;24.40882913;0.447272727;18.26;10.76865297;17.13812109;11.41057551;19.47162846;16.5;9.61;15.8;13.2;19.42;14.95;26.66551336;13.31;25.45;9.687689146;1.0409
08/01/2003;7.036473029;14.02351084;1.66;3.456020254;14;21.02;48.88;43.63;7.334678054;14.63;7.996454659;39.78;16.18;13.41956873;17.85;5.954895052;5.01786068;15.81623377;14.67;14.44;13.42;5.57822518;25.39;29.3;3.831896787;28.32;18.116182;16.9;26.06;18.04099408;23.4244128;24.02;16.09312139;6.031240157;8.896764136;34.17;9.01;20.47;15.78195973;8.433391248;100.34;1.654202013;22.27986453;17.71907716;16.68;22.87117578;11.31716956;39.38;12.39;19.45;14.70470588;28.74;5.781849189;19.05;36.45;26.06;10.05;28.02961491;0.470735367;38.66;11.73;3.494967642;12.26213025;6.03;5.959384188;12.53496186;12.12;46.8;28.47;12.82;8.862688679;18.48735579;8.183929998;2.403316129;11.00273352;10.854453;12.2;15;23.34300695;0.414545455;18.21;10.54050354;17.1927169;11.09084407;19.0941173;16;9.65;15.23;13.2;19.12;14.95;26.5449261;13.02;24.71;9.485335326;1.0499
09/01/2003;7.265382336;14.59727041;1.78;3.532328393;14.25;21.45;49.69;43.9;7.40021126;15.04;8.107885016;40.42;16.18;13.41956873;19.15;6.212636227;5.151394969;16.00979798;15.5;14.95;14.02;5.559213413;26.69;30.55;3.831896787;28.3;18.56605371;16.9;26.68;18.45774958;24.05942621;24.02;16.38976879;6.440137795;8.916589794;34.64;9.36;20.85;16.06174497;8.692992187;100.34;1.653078997;22.78030135;18.50386674;17.06;24.54790507;11.43444593;40.46;13.23;19.45;15.17747899;29.5;6.054088725;19.72;37.71;26.78;9.95;28.8409441;0.471830101;38.66;13.03;3.59604909;12.52892575;6.05;6.064109768;12.7015562;13.01;47.89;29.06;12.97;8.862688679;19.52733266;7.989951459;2.482806529;11.40941558;9.859131356;12.6;15;23.64323855;0.425454545;18.83;10.54557353;17.76349128;11.52823668;19.12392081;15.86;10.6;15.31;13.2;19.35;14.95;26.98533174;13;25.47;9.834395666;1.0485
10/01/2003;7.494291642;14.80919962;1.77;3.542174605;14.53;21.32;50.44;44.43;7.420375323;15.7;7.91155534;39.99;16.18;13.41956873;19.62;6.330767598;5.211967224;15.79076479;15.52;15.22;14.17;5.397613396;27.48;30.58;3.831896787;27.15;18.57616319;16.9;27.42;18.41758038;24.58544479;24.02;16.24638921;6.571569179;8.862069234;35.6;9.38;20.1;16.31044295;8.98170725;100.34;1.673293278;22.57178601;16.92202525;17.42;24.70969473;11.76672897;41.41;13.79;19.45;15.40168067;30.08;5.940007395;19.9;38.33;26.74;10.29;28.89778882;0.470735367;38.25;13.1;3.80127506;12.73294583;5.97;6.168835348;12.64602475;13.07;47.4;28.87;12.8;8.862688679;19.41121874;7.783695797;2.498028095;11.62019592;10.02254237;11.1;15;23.54316135;0.441818182;18.94;10.59120342;17.86275639;11.79681108;18.96000149;16.05;10.46;15.42;13.2;19.56;14.95;26.66551336;13;25.75;10.11769101;1.0576
13/01/2003;7.588841138;14.75750957;1.77;3.547097711;14.37;22.04;51.52;43.54;7.37500618;15.4;7.842574642;39.64;16.18;13.41956873;19.09;6.427420539;5.031627101;15.59720058;15.44;15.28;14.4;5.353540664;27.54;30.52;3.831896787;25.98;18.44979473;16.9;27.18;18.57072547;23.67083591;24.02;15.95963006;6.381723847;8.760462735;35.51;9.34;20.05;15.90630872;9.144261109;100.34;1.682277403;22.56136024;15.78162789;17.38;24.82245723;11.41489987;40.45;13.46;19.45;15.40655462;29.71;5.665175102;20.16;37.6;25.01;10.09;29.14067081;0.477303768;38.15;12.56;3.718572057;12.86895922;5.77;6.118966024;12.60563824;12.93;47.44;28.18;13.04;8.862688679;19.53742952;7.452213484;2.514940946;11.62515546;9.878938752;10.23;15;23.21290659;0.430909091;18.57;10.46952372;17.68904245;11.93493506;18.82588568;16.1;10.29;15.89;13.2;20.03;14.95;26.15170677;13.33;25.07;9.950749113;1.054
14/01/2003;7.568935981;15.04697385;1.81;3.598790321;14.48;22.74;51.1;43.23;7.364924149;15.36;7.900942925;39.48;16.18;13.41956873;19.88;6.521388675;5.072926366;15.53098124;15.99;15.58;14.76;5.309467932;28.38;30.99;3.831896787;26.4;18.55594424;16.9;27.1;18.62344755;23.73244169;24.02;15.8409711;6.386591676;8.936415452;35.36;9.01;19.85;16.03583893;9.190358472;100.34;1.68564645;22.45710257;16.85335616;17.79;25.23428547;11.66899866;39.65;13.55;19.45;15.51865546;30.82;5.52257344;20;38.09;24.15;10.2;29.44039752;0.471830101;38.72;12.99;3.687941315;12.76956482;5.7;6.163848416;12.73689439;13.11;47.92;28.16;12.98;8.803207547;19.85043227;7.000415369;2.607961626;11.61275661;10.09682011;10.25;15;23.33800309;0.698181818;18.44;10.27686421;18.09106614;12.10886896;18.46327627;16.12;10.54;15.67;13.2;20.3;14.95;26.05733413;13.45;25.94;9.965925649;1.0552
