Fecha;Bovespa;Dax;Hang Seng;Ftse 100;Nasdaq 100
01/01/2003;11235;2838.87;9298.78;3900.6;987.81
02/01/2003;11291;2898.68;9333.64;3940.4;995.64
03/01/2003;11632;3098.89;9523.25;4009.5;1024.47
06/01/2003;11636;3101.17;9605.09;4004.9;1034.02
07/01/2003;12010;3156.56;9710.79;4001.4;1063.18
08/01/2003;11875;3108.02;9632.36;3957.4;1063.48
09/01/2003;11814;3000.24;9626.14;3924.8;1056.61
10/01/2003;11925;3037.8;9711.76;3934;1059.86
13/01/2003;12243;3039.91;9752.3;3974.1;1101.24
14/01/2003;12131;3063.49;9812.91;3948.3;1082.37
15/01/2003;12151;3107.61;9807.43;3945.6;1096.96
16/01/2003;11973;3047.24;9798.16;3887.8;1076.18
17/01/2003;11952;3047.11;9730.55;3881.8;1041.43
20/01/2003;11675;2927.58;9551.56;3820.6;1041.43
21/01/2003;11610;2900.88;9558.2;3778.6;1022.94
22/01/2003;11428;2866.35;9484.89;3736.7;1005.57
23/01/2003;11148;2804.13;9513.58;3678;1024.47
24/01/2003;11157;2813.13;9558.48;3622.2;1027.7
27/01/2003;10768;2716.42;9326.76;3603.7;985.08
28/01/2003;10534;2649.96;9244.3;3480.8;996.88
29/01/2003;10514;2667.69;9272.28;3490;994.6
30/01/2003;10873;2711.84;9251.94;3483.8;1018.48
31/01/2003;10761;2687.72;9251.94;3578.7;971.6
03/02/2003;10943;2750.4;9251.94;3567.4;987.37
04/02/2003;10879;2750.04;9327.32;3689.4;972.93
05/02/2003;10581;2626.85;9214.64;3590.1;980.75
06/02/2003;10587;2714.12;9178.26;3678.7;966.05
07/02/2003;10567;2649.02;9099.41;3597;980.5
10/02/2003;10388;2573.26;9135.1;3599.2;961.69
11/02/2003;10491;2593.15;9237.19;3579.1;975.52
12/02/2003;10512;2621.45;9169.86;3669.2;967.89
13/02/2003;10509;2566.95;9273.38;3616.1;959.56
14/02/2003;10103;2558.25;9201.11;3610.8;958.2
17/02/2003;10089;2683.48;9311.65;3611.9;958.2
18/02/2003;10192;2707.57;9367.94;3692.4;990.21
19/02/2003;10434;2734.81;9461.13;3729.5;1011.69
20/02/2003;10259;2631.48;9415.21;3658.3;1010.5
21/02/2003;10222;2591.68;9361.05;3687.2;1002.14
24/02/2003;10334;2648.49;9302.73;3727.1;1009.14
25/02/2003;10231;2563.37;9140.06;3701.8;981.52
26/02/2003;10192;2488.92;9156.8;3621.5;992.91
27/02/2003;10006;2453.34;9072.87;3593.3;982.51
28/02/2003;10153;2508.89;9146.63;3569.9;998.26
03/03/2003;10153;2553.74;9141.46;3655.6;1015.87
04/03/2003;10153;2541.81;9218.37;3684.7;991.6
05/03/2003;10263;2495.46;9105.37;3625.3;981.67
06/03/2003;10311;2500.64;9097.45;3563.5;982.04
07/03/2003;10608;2433.72;8917.12;3555.4;967.93
10/03/2003;10695;2437.32;8894.04;3491.6;977.95
11/03/2003;10314;2324.01;8776.99;3436;966.74
12/03/2003;10343;2300.11;8825.44;3452.7;954.66
13/03/2003;10606;2203.97;8857.31;3287;990.36
14/03/2003;10792;2356.36;8976.76;3486.9;1034.43
17/03/2003;10783;2398.11;8901.22;3601.8;1021.97
18/03/2003;10891;2490.78;9003.96;3722.3;1075.3
19/03/2003;11143;2576.96;8973.19;3747.3;1078.19
20/03/2003;10993;2607.76;9243.9;3765.4;1064.32
21/03/2003;11176;2607.7;9220.95;3765.7;1096.3
24/03/2003;11362;2712.62;9214.65;3861.1;1064.65
25/03/2003;11047;2541.79;9012.04;3743.3;1051.71
26/03/2003;11248;2634.89;9096.08;3762;1065.78
27/03/2003;11204;2583.27;9027.99;3793.1;1055.7
28/03/2003;11273;2580.96;8864.12;3729.1;1052.25
31/03/2003;11387;2511.99;8755.81;3708.5;1028.43
01/04/2003;11283;2426.24;8608.79;3613.3;1025.02
02/04/2003;11615;2462.21;8586.69;3684.8;1047.39
03/04/2003;11877;2582.95;8769.41;3753.4;1070.51
04/04/2003;12014;2573.16;8669.73;3771.1;1067.51
07/04/2003;12154;2654.76;8838.83;3814.4;1089.93
08/04/2003;12124;2798.74;8885.62;3935.8;1051.75
09/04/2003;11784;2756.62;8755.15;3868.8;1048.92
10/04/2003;11784;2730.97;8597.86;3861.4;1024.74
11/04/2003;11614;2700.61;8627.57;3803.3;1046.45
14/04/2003;11726;2741.66;8598.08;3808.1;1028
15/04/2003;11865;2792.06;8600.5;3849.4;1044.33
16/04/2003;12120;2843.33;8653.59;3916.8;1070.64
17/04/2003;12052;2820.35;8600.05;3854.9;1051.36
18/04/2003;12052;2820.35;8600.05;3854.9;1051.36
21/04/2003;12052;2820.35;8600.05;3854.9;1083.75
22/04/2003;12393;2898.36;8531.11;3889.2;1073.88
23/04/2003;12455;2968.8;8641.4;3917.7;1105.45
24/04/2003;12370;2967.62;8482.6;3966.5;1100.84
25/04/2003;12124;2892.46;8351.59;3899;1100.65
