fecha,hora,sec,centseg,volumen,id_orden,tipo_orden,precio
2018-01-03,09:00:12,17962,143,53,2,OPE,8.23500
2018-01-03,09:00:12,17982,145,40,4,OPE,8.23500
2018-01-03,09:00:12,17994,151,272,6,OPE,8.23500
2018-01-03,09:00:12,18045,158,1032,14,OPE,8.23500
2018-01-03,09:00:12,18019,154,162,10,OPE,8.23500
2018-01-03,09:00:12,18007,152,3,8,OPE,8.23500
2018-01-03,09:00:12,18032,156,158,12,OPE,8.23500
2018-01-03,09:04:50,40415,889,66,55,LMT,8.24500
2018-01-03,09:05:50,44937,972,86,55,LMT,8.24500
2018-01-03,09:05:51,44949,74,4,84,LMT,8.29000
2018-01-03,09:05:51,44953,114,1,84,LMT,8.29000
2018-01-03,09:05:51,44955,114,4,84,LMT,8.29000
2018-01-03,09:06:05,45870,866,1700,106,LMT,8.33000
2018-01-03,09:06:05,45895,985,2400,106,LMT,8.33000
2018-01-03,09:06:05,45859,818,420,96,LMT,8.29000
2018-01-03,09:06:06,45924,523,300,45,LMT,8.23000
2018-01-03,09:06:06,45924,523,185,53,LMT,8.23000
2018-01-03,09:06:05,45870,866,785,111,LMT,8.32000
2018-01-03,09:06:05,45870,866,800,54,LMT,8.33000
2018-01-03,09:06:05,45870,866,1000,54,LMT,8.33000
2018-01-03,09:06:06,45924,523,211,85,LMT,8.23000
2018-01-03,09:21:22,126015,825,891,180,LMT,8.25000
2018-01-03,09:07:25,51182,289,87,134,LMT,8.23500
2018-01-03,09:21:20,125646,467,650,168,LMT,8.25000
2018-01-03,09:21:20,125646,467,324,174,LMT,8.25000
2018-01-03,09:21:22,126015,825,156,175,LMT,8.25000
2018-01-03,09:21:22,126015,825,1,176,LMT,8.25000
2018-01-03,09:21:25,126665,801,1,190,LMT,8.25000
2018-01-03,09:21:25,126665,801,164,193,LMT,8.25000
2018-01-03,09:22:14,132497,950,650,246,LMT,8.31500
2018-01-03,09:22:14,132497,950,973,248,LMT,8.31500
2018-01-03,09:22:14,132500,951,308,250,LMT,8.31500
2018-01-03,09:22:14,132500,951,429,230,LMT,8.32500
2018-01-03,09:22:14,132497,950,325,238,LMT,8.31500
2018-01-03,09:21:40,128692,511,237,199,LMT,8.25500
2018-01-03,09:21:48,129201,626,94,199,LMT,8.25500
2018-01-03,09:22:15,132515,7,109,199,LMT,8.25500
2018-01-03,09:23:40,141015,812,250,300,LMT,8.30000
2018-01-03,09:28:44,165406,590,109,300,LMT,8.30000
2018-01-03,09:28:44,165406,590,386,307,LMT,8.30000
2018-01-03,09:28:44,165409,591,155,326,LMT,8.30000
2018-01-03,09:28:44,165437,679,81,341,LMT,8.28500
2018-01-03,09:28:44,165439,680,865,341,LMT,8.28500
2018-01-03,09:28:54,166284,698,1,363,LMT,8.27000
2018-01-03,09:28:54,166284,698,54,354,LMT,8.27000
2018-01-03,09:22:55,137282,489,824,244,LMT,8.25500
2018-01-03,09:23:11,138872,838,68,244,LMT,8.25500
2018-01-03,09:23:40,141022,840,78,244,LMT,8.25500
2018-01-03,09:25:01,147114,913,491,244,LMT,8.25500
2018-01-03,09:25:12,147677,24,128,244,LMT,8.25500
2018-01-03,09:29:16,168560,291,235,385,LMT,8.27500
2018-01-03,09:29:16,168562,292,82,385,LMT,8.27500
2018-01-03,09:29:15,168529,945,13,375,LMT,8.29500
2018-01-03,09:31:34,178850,721,360,406,LMT,8.27500
2018-01-03,09:28:54,166284,698,27,368,LMT,8.27000
2018-01-03,09:34:22,190111,262,650,505,LMT,8.28500
2018-01-03,09:34:21,190025,252,209,464,LMT,8.30000
2018-01-03,09:34:21,190023,252,391,464,LMT,8.30000
2018-01-03,09:34:21,190025,252,218,470,LMT,8.30000
2018-01-03,09:34:21,189994,202,650,438,LMT,8.30500
2018-01-03,09:34:21,189994,202,944,450,LMT,8.30500
2018-01-03,09:34:21,189997,204,1174,450,LMT,8.30500
2018-01-03,09:34:21,189997,204,1,452,LMT,8.30500
2018-01-03,09:34:50,191705,760,175,546,LMT,8.31500
2018-01-03,09:34:24,190269,314,188,515,LMT,8.28000
2018-01-03,09:34:56,192009,490,139,515,LMT,8.28000
2018-01-03,09:35:54,195842,550,233,515,LMT,8.28000
2018-01-03,09:35:54,195842,550,115,545,LMT,8.28000
2018-01-03,09:36:34,198786,749,273,604,LMT,8.31500
2018-01-03,09:36:34,198715,542,273,566,LMT,8.31500
2018-01-03,09:36:34,198718,543,2227,583,LMT,8.31500
2018-01-03,09:36:35,198919,988,146,598,LMT,8.34500
2018-01-03,09:36:34,198789,750,94,608,LMT,8.31500
2018-01-03,09:36:48,199414,573,289,608,LMT,8.31500
2018-01-03,09:36:48,199416,575,85,608,LMT,8.31500
2018-01-03,09:36:48,199416,575,127,623,LMT,8.31500
2018-01-03,09:36:48,199416,575,650,626,LMT,8.31500
2018-01-03,09:36:34,198738,569,95,597,LMT,8.30000
2018-01-03,09:36:36,198944,82,2,635,LMT,8.33500
2018-01-03,09:44:42,231220,791,165,697,LMT,8.34500
2018-01-03,09:44:42,231220,791,120,702,LMT,8.34500
2018-01-03,09:44:42,231220,791,500,707,LMT,8.34500
2018-01-03,09:44:42,231223,792,96,58,LMT,8.35000
2018-01-03,09:44:42,231223,792,176,692,LMT,8.35000
2018-01-03,09:44:42,231223,792,722,699,LMT,8.36000
2018-01-03,09:44:42,231223,792,163,703,LMT,8.36000
2018-01-03,09:44:42,231236,821,188,723,LMT,8.27500
2018-01-03,09:44:42,231223,792,58,700,LMT,8.36500
