payment_date,exdividend,dividend
2003-01-17,2003-01-14,0.09
2003-07-03,2003-06-30,0.14053
2004-01-08,2004-01-05,0.12
2004-07-07,2004-07-02,0.17744
2005-01-12,2005-01-07,0.13
2005-07-04,2005-06-29,0.201175
2006-01-12,2006-01-09,0.16
2006-07-06,2006-07-03,0.239944
2007-01-11,2007-01-08,0.19
2007-07-05,2007-07-02,0.281809
2008-01-10,2008-01-07,0.24
2008-07-03,2008-06-30,0.358874
2009-01-12,2009-01-07,0.26
2009-07-02,2009-06-29,0.390641
2009-12-22,2009-12-17,0.283
2010-07-05,2010-06-30,0.466027
2010-12-21,2010-12-16,0.312
2011-07-05,2011-06-30,0.526123
2011-12-21,2011-12-16,0.381
2012-07-05,2012-07-02,0.61181
2012-12-20,2012-12-17,0.428
2013-07-03,2013-06-28,0.684768
2013-12-19,2013-12-16,0.503
2014-07-03,2014-06-30,0.763627
2014-12-19,2014-12-16,0.52
2015-07-02,2015-06-29,0.78
2015-12-17,2015-12-14,0.528
2016-07-05,2016-06-30,0.792
2016-12-22,2016-12-20,0.556
2017-07-05,2017-07-03,0.834
2017-12-21,2017-12-19,0.584
2018-07-05,2018-07-03,0.876
2018-12-19,2018-12-17,0.612
2019-07-03,2019-07-01,0.918
2019-12-23,2019-12-19,0.64
2020-07-09,2020-07-07,0.96
2020-12-23,2020-12-21,0.672
