,real,adjusted
2003-01-10,6.08,2.4362986113
2003-01-13,6.18,2.4887727353
2003-01-14,6.37,2.5637357694
2003-01-15,6.22,2.5037653423
2003-01-16,6.28,2.5187579491000003
2003-01-17,6.23,2.5337505559
2003-01-20,6.19,2.5187579491000003
2003-01-21,6.2,2.5262542523000002
2003-01-22,6.25,2.5487431627
2003-01-23,6.22,2.5337505559
2003-01-24,6.19,2.5187579491000003
2003-01-27,6.15,2.5112616455
2003-01-28,6.1,2.4962690387
2003-01-29,6.14,2.5112616455
2003-01-30,6.18,2.5187579491000003
2003-01-31,6.13,2.5037653423
2003-02-03,6.26,2.5562394662
2003-02-04,6.3,2.5712320729
2003-02-05,6.32,2.5712320729
2003-02-06,6.34,2.5862246797
2003-02-07,6.2,2.5187579491000003
2003-02-10,6.2,2.5187579491000003
2003-02-11,6.2,2.5262542523000002
2003-02-12,6.21,2.5337505559
2003-02-13,6.21,2.5262542523000002
2003-02-14,6.25,2.5487431627
2003-02-17,6.35,2.5862246797
2003-02-18,6.39,2.6012172867
2003-02-19,6.36,2.5937209832
2003-02-20,6.32,2.5712320729
2003-02-21,6.38,2.6012172867
2003-02-24,6.35,2.5862246797
2003-02-25,6.32,2.5712320729
2003-02-26,6.31,2.5712320729
2003-02-27,6.31,2.5712320729
2003-02-28,6.46,2.6386988037
2003-03-03,6.35,2.5862246797
2003-03-04,6.32,2.5712320729
2003-03-05,6.4,2.60871359
2003-03-06,6.4,2.6012172867
2003-03-07,6.5,2.6536914107
2003-03-10,6.3,2.5712320729
2003-03-11,6.28,2.5562394662
2003-03-12,6.22,2.5337505559
2003-03-13,6.27,2.5562394662
2003-03-14,6.38,2.6012172867
2003-03-17,6.4,2.6012172867
2003-03-18,6.33,2.5712320729
2003-03-19,6.39,2.6012172867
2003-03-20,6.32,2.5712320729
2003-03-21,6.34,2.5787283763
2003-03-24,6.34,2.5787283763
2003-03-25,6.35,2.5862246797
2003-03-26,6.45,2.6312025003
2003-03-27,6.32,2.5712320729
2003-03-28,6.4,2.6012172867
2003-03-31,6.42,2.60871359
2003-04-01,6.43,2.6162098934999998
2003-04-02,6.37,2.6012172867
2003-04-03,6.45,2.6312025003
2003-04-04,6.31,2.5712320729
2003-04-07,6.33,2.5712320729
2003-04-08,6.22,2.5337505559
2003-04-09,6.26,2.5487431627
2003-04-10,6.28,2.5562394662
2003-04-11,6.3,2.5712320729
2003-04-14,6.34,2.5862246797
2003-04-15,6.37,2.6012172867
2003-04-16,6.4,2.60871359
2003-04-17,6.52,2.661187714
2003-04-22,6.55,2.6761803207
2003-04-23,6.6,2.6986692311000002
2003-04-24,6.6,2.6986692311000002
2003-04-25,6.63,2.7061655345
2003-04-28,6.64,2.7136618379
2003-04-29,6.63,2.7136618379
2003-04-30,6.49,2.6536914107
2003-05-02,6.5,2.6536914107
2003-05-05,6.5600000000000005,2.6761803207
2003-05-06,6.69,2.7136618379
2003-05-07,6.88,2.803617479
2003-05-08,6.55,2.6761803207
2003-05-09,6.77,2.751143355
2003-05-12,6.64,2.7136618379
2003-05-13,6.55,2.6686840173
2003-05-14,6.57,2.6761803207
2003-05-15,6.5600000000000005,2.6761803207
2003-05-16,6.55,2.6686840173
2003-05-19,6.55,2.6686840173
2003-05-20,6.74,2.7436470517
2003-05-21,6.71,2.7211581413
2003-05-22,6.84,2.7811285689
2003-05-23,6.88,2.803617479
2003-05-26,6.84,2.7811285689
2003-05-27,6.94,2.8336026927
2003-05-28,6.93,2.8336026927
2003-05-29,6.87,2.803617479
2003-05-30,6.85,2.7886248720999998
2003-06-02,6.85,2.7886248720999998
2003-06-03,6.88,2.803617479
2003-06-04,6.9,2.8111137824
2003-06-05,6.98,2.8560916029000003
2003-06-06,7.01,2.8635879064000003
2003-06-09,7.01,2.8635879064000003
2003-06-10,7.13,2.9235583337
2003-06-11,7.43,3.0210102783
2003-06-12,7.35,2.9910250646
2003-06-13,7.26,2.9535435475
2003-06-16,7.38,3.0060176714
2003-06-17,7.24,2.9535435475
2003-06-18,7.21,2.9310546373
2003-06-19,7.2,2.9310546373
2003-06-20,7.36,2.9910250646
2003-06-23,7.25,2.9535435475
2003-06-24,7.28,2.9685361543
