Date;MSCI
05/01/2016;71.14
06/01/2016;70.59
07/01/2016;69.49
08/01/2016;68.5
11/01/2016;68.13
12/01/2016;69.2
13/01/2016;67.76
14/01/2016;68
15/01/2016;67.45
18/01/2016;#N/A N/A
19/01/2016;66.59
20/01/2016;65.44
21/01/2016;65.58
22/01/2016;66.99
25/01/2016;66.31
26/01/2016;66.08
27/01/2016;66.21
28/01/2016;66.55
29/01/2016;68.84
01/02/2016;67.74
02/02/2016;66.79
03/02/2016;66.32
04/02/2016;66.89
05/02/2016;65.29
08/02/2016;63.16
09/02/2016;65.08
10/02/2016;66.02
11/02/2016;65.26
12/02/2016;67.26
15/02/2016;#N/A N/A
16/02/2016;68.58
17/02/2016;70.06
18/02/2016;70.64
19/02/2016;71.55
22/02/2016;72.83
23/02/2016;72.75
24/02/2016;71.45
25/02/2016;72.56
26/02/2016;72.46
29/02/2016;70.52
01/03/2016;71.51
02/03/2016;70.85
03/03/2016;70.09
04/03/2016;69.5
07/03/2016;69.96
08/03/2016;68.7
09/03/2016;69.46
10/03/2016;68.95
11/03/2016;69.62
14/03/2016;69.71
15/03/2016;69.31
16/03/2016;69.77
17/03/2016;70.23
18/03/2016;71.27
21/03/2016;71.38
22/03/2016;71.63
23/03/2016;71.6
24/03/2016;70.74
25/03/2016;#N/A N/A
28/03/2016;71.37
29/03/2016;72.67
30/03/2016;73.15
31/03/2016;74.08
01/04/2016;74.61
04/04/2016;74.2
05/04/2016;73.79
06/04/2016;74.91
07/04/2016;73.72
08/04/2016;73.44
11/04/2016;73.14
12/04/2016;73.76
13/04/2016;74.07
14/04/2016;74.35
15/04/2016;74.64
18/04/2016;75.6
19/04/2016;75.93
20/04/2016;75.56
21/04/2016;75.16
22/04/2016;75.39
25/04/2016;75.34
26/04/2016;75.97
27/04/2016;76.36
28/04/2016;75.29
29/04/2016;75.94
02/05/2016;76
03/05/2016;74.89
04/05/2016;74.75
05/05/2016;74.8
06/05/2016;75.38
09/05/2016;76.41
10/05/2016;77.37
11/05/2016;76.59
12/05/2016;75.69
13/05/2016;75.11
16/05/2016;74.99
17/05/2016;74.51
18/05/2016;74.98
19/05/2016;75.29
20/05/2016;75.99
23/05/2016;76.31
24/05/2016;78.94
25/05/2016;78.58
26/05/2016;78.45
27/05/2016;79.32
30/05/2016;#N/A N/A
31/05/2016;79.79
01/06/2016;78.71
02/06/2016;78.65
03/06/2016;77.11
06/06/2016;77.36
07/06/2016;77.88
08/06/2016;78.05
09/06/2016;78.07
10/06/2016;76.72
13/06/2016;75.81
14/06/2016;74.52
15/06/2016;74.3
16/06/2016;74.25
17/06/2016;73.67
20/06/2016;74.55
21/06/2016;74.87
22/06/2016;74.83
23/06/2016;76.66
24/06/2016;73.73
27/06/2016;71.86
28/06/2016;73.81
29/06/2016;74.91
