,isin,allfunds_id,asset,asset_type,class_code,clean_share,currency,geo_area,geo_zone,inception_at,income,management_fee,manager_id,manager_name,name,ongoing_charges
20,IE00B70DMB28,0018152,007,ALS,A,False,EUR,003,JP,2017-10-11,False,2.0,00003,NOMURA INVESTMENT SOLUTIONS PLC,"NOMURA ALPHA JPN LONG SHORT ""A"" (EURH) A",2.42
21,LU0331286657,0206399,004,RVG,C2,False,EUR,003,ASP,2003-04-21,False,1.5,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""C2"" (EUR)",3.16
22,LU0252964605,0027584,004,RVG,D2,True,EUR,003,ASP,2006-05-19,False,0.75,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""D2"" (EUR)",1.17
23,LU1495983089,0012993,004,RVG,I2,False,USD,003,ASP,2016-09-28,False,0.75,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""I2"" (USD)",0.89
24,LU0171290587,0008123,004,RVG,E2,False,EUR,003,ASP,2003-04-25,False,1.5,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""E2"" (EUR)",2.41
25,LU0147414618,0011125,004,RVG,E2,False,USD,003,ASP,2002-07-01,False,1.5,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""E2""",2.41
26,LU0171290314,0008109,004,RVG,A2,False,EUR,003,ASP,2002-06-20,False,1.5,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""A2"" (EUR)",1.91
27,LU0035112944,0011108,004,RVG,A2,False,USD,003,ASP,1994-08-05,False,1.5,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""A2""",1.91
28,LU0252969406,0027583,004,RVG,D2,True,USD,003,ASP,2006-05-19,False,0.75,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""D2""",1.17
29,LU0171290744,0010013,004,RVG,A2,False,GBP,003,ASP,2002-02-15,False,1.5,00007,BLACKROCK GLOBAL FUNDS,"BGF PACIFIC EQUITY ""A2"" (GBP)",1.91
30,LU0706698544,0157417,002,HY,A4R,False,GBP,001,US,2011-11-14,True,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YLD BD ""A4R"" (GBPHGD) D",1.45
31,LU0330917963,0052045,002,HY,A2,False,EUR,001,US,2007-12-14,False,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""A2"" (EURHDG)",1.45
32,LU0681219902,0157419,002,HY,D4R,True,GBP,001,US,2011-10-13,True,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YLD BD ""D4R"" (GBPHGD) D",0.76
33,LU0552552704,0153244,002,HY,D2,True,USD,001,US,2010-11-10,False,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""D2"" (USD)",0.76
34,LU0532707519,0084926,002,HY,D2,True,EUR,001,US,2010-08-18,False,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""D2"" (EURHDG)",0.76
35,LU1111085442,0246224,002,HY,I,False,GBP,001,US,2014-09-17,True,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BO ""I"" (GBPHDG) D",0.6
36,LU0147389596,0206427,002,HY,C2,False,USD,001,US,2003-11-24,False,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF HIGH YIELD BOND ""C2"" (USD)",2.7
37,LU0580330818,0157415,002,HY,A3,False,GBP,001,US,2012-07-11,True,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YLD BD ""A3"" (GBPHGD) D",1.45
38,LU0046675905,0006346,002,HY,A1,False,USD,001,US,2008-01-31,True,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""A1"" (USD) D",1.46
39,LU0277197595,0023216,002,HY,E2,False,EUR,001,US,2006-12-01,False,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""E2"" (EUR)",1.95
40,LU0822668108,0203196,002,HY,I,False,USD,001,US,2012-08-29,False,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BO ""I"" (USD)",0.6
41,LU0592702061,0157410,002,HY,D3,True,USD,001,US,2011-04-19,True,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YLD BD ""D3"" (USD) D",0.75
42,LU0046676465,0011134,002,HY,A2,False,USD,001,US,1993-10-29,False,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""A2""",1.45
43,LU0172419151,0006353,002,HY,A3,False,USD,001,US,2003-10-24,True,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""A3"" (USD) D",1.45
44,LU1111085798,0246223,002,HY,I,False,EUR,001,US,2014-09-17,False,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BO ""I"" (EURHDG)",0.59
45,LU0147389919,0011135,002,HY,E2,False,USD,001,US,2001-10-12,False,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BOND ""E2""",1.95
46,LU0738912566,0157409,002,HY,A6,False,USD,001,US,2012-02-01,True,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YLD BD ""A6"" (USD) D",1.45
47,LU0578943853,0157414,002,HY,A3,False,EUR,001,US,2012-07-11,True,1.25,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YLD BD ""A3"" (EURHGD) D",1.46
48,LU0764821012,0139521,002,HY,I,False,USD,001,US,2014-06-04,True,0.55,00007,BLACKROCK GLOBAL FUNDS,"BGF USD HIGH YIELD BO ""I"" (USD) D",0.6
